date,state,city,suspects,confirmed,negatives,deaths,new_cases,estimated_population_2019,confirmed_per_100k_inhabitants
2020-07-05,MG,Uberlândia,1113,7859,23977,138,84,691305,
2020-07-04,MG,Uberlândia,424,7775,23727,137,205,691305,
2020-07-03,MG,Uberlândia,347,7570,22726,128,137,691305,
2020-07-02,MG,Uberlândia,96,7433,22018,125,367,691305,
2020-07-01,MG,Uberlândia,717,7066,20738,120,195,691305,
2020-06-30,MG,Uberlândia,824,6871,20052,115,436,691305,
2020-06-29,MG,Uberlândia,1440,6435,18932,113,70,691305,
2020-06-28,MG,Uberlândia,887,6365,18700,109,91,691305,
2020-06-27,MG,Uberlândia,452,6274,18394,106,214,691305,
2020-06-26,MG,Uberlândia,738,6060,17379,100,95,691305,
2020-06-25,MG,Uberlândia,382,5965,16832,99,138,691305,
2020-06-24,MG,Uberlândia,191,5827,16202,93,143,691305,
2020-06-23,MG,Uberlândia,230,5684,15425,85,144,691305,
2020-06-22,MG,Uberlândia,487,5540,14629,81,58,691305,
2020-06-21,MG,Uberlândia,75,5482,14460,79,456,691305,
2020-06-20,MG,Uberlândia,44,5026,13801,76,278,691305,
2020-06-19,MG,Uberlândia,348,4748,13410,75,245,691305,
2020-06-18,MG,Uberlândia,354,4503,13065,74,354,691305,
2020-06-17,MG,Uberlândia,693,4149,12582,72,124,691305,
2020-06-16,MG,Uberlândia,577,4025,12117,69,170,691305,
2020-06-15,MG,Uberlândia,314,3855,11792,63,85,691305,
2020-06-14,MG,Uberlândia,166,3770,11457,57,171,691305,
2020-06-13,MG,Uberlândia,518,3599,11092,54,539,691305,
2020-06-12,MG,Uberlândia,1753,3060,9671,50,255,691305,
2020-06-11,MG,Uberlândia,1500,2805,9180,47,245,691305,
2020-06-10,MG,Uberlândia,2221,2560,8388,44,204,691305,
2020-06-09,MG,Uberlândia,2703,2356,7706,41,181,691305,
2020-06-08,MG,Uberlândia,3447,2175,6994,37,36,691305,
2020-06-07,MG,Uberlândia,3202,2139,6801,36,202,691305,
2020-06-06,MG,Uberlândia,3601,1937,6164,33,163,691305,
2020-06-05,MG,Uberlândia,3837,1774,5622,31,178,691305,
2020-06-04,MG,Uberlândia,4381,1596,4795,30,116,691305,
2020-06-03,MG,Uberlândia,4131,1480,4738,28,136,691305,
2020-06-02,MG,Uberlândia,4117,1344,4514,28,54,691305,
2020-06-01,MG,Uberlândia,3965,1290,4423,27,43,691305,
2020-05-31,MG,Uberlândia,3750,1247,4379,25,148,691305,
2020-05-30,MG,Uberlândia,3769,1099,4233,21,67,691305,
2020-05-29,MG,Uberlândia,3620,1032,4165,20,115,691305,
2020-05-28,MG,Uberlândia,3569,917,4053,19,61,691305,
2020-05-27,MG,Uberlândia,3396,856,3986,17,97,691305,
2020-05-26,MG,Uberlândia,3334,759,3896,16,35,691305,
2020-05-25,MG,Uberlândia,3191,724,3807,16,19,691305,
2020-05-24,MG,Uberlândia,3004,705,3778,16,40,691305,
2020-05-23,MG,Uberlândia,2865,665,3699,16,62,691305,
2020-05-22,MG,Uberlândia,2853,603,3527,15,31,691305,
2020-05-21,MG,Uberlândia,2740,572,3402,14,42,691305,
2020-05-20,MG,Uberlândia,2720,530,3308,14,39,691305,
2020-05-19,MG,Uberlândia,2627,491,3279,14,32,691305,
2020-05-18,MG,Uberlândia,2553,459,3242,13,15,691305,
2020-05-17,MG,Uberlândia,2444,444,3206,13,9,691305,
2020-05-16,MG,Uberlândia,5954,435,3012,12,61,691305,
2020-05-15,MG,Uberlândia,5794,374,2893,12,4,691305,
2020-05-14,MG,Uberlândia,5640,370,2863,12,21,691305,
2020-05-13,MG,Uberlândia,5494,349,2772,12,12,691305,
2020-05-12,MG,Uberlândia,5354,337,2705,12,44,691305,
2020-05-11,MG,Uberlândia,5199,293,2522,12,19,691305,
2020-05-10,MG,Uberlândia,5053,274,2477,11,17,691305,
2020-05-09,MG,Uberlândia,4920,257,2395,11,9,691305,
2020-05-08,MG,Uberlândia,4779,248,2241,11,7,691305,
2020-05-07,MG,Uberlândia,4626,241,2231,11,16,691305,
2020-05-06,MG,Uberlândia,4476,225,2113,11,17,691305,
2020-05-05,MG,Uberlândia,4345,208,1924,11,13,691305,
2020-05-04,MG,Uberlândia,4237,195,1834,10,3,691305,
2020-05-03,MG,Uberlândia,4139,192,1794,10,20,691305,
2020-05-02,MG,Uberlândia,4039,172,1723,10,17,691305,
2020-05-01,MG,Uberlândia,3951,155,1617,10,5,691305,
2020-04-30,MG,Uberlândia,3863,150,1363,10,14,691305,
2020-04-29,MG,Uberlândia,3779,136,1306,10,12,691305,
2020-04-28,MG,Uberlândia,3699,124,1224,10,9,691305,
2020-04-27,MG,Uberlândia,3616,115,1174,9,1,691305,
