epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
27,2020-07-01,95,AC,Acrelândia,1200013,city,194,1271.63083,2,3,0,0.0155,15256,True,False
27,2020-07-01,62,AC,Assis Brasil,1200054,city,186,2507.75246,11,5,0,0.0269,7417,True,False
27,2020-07-01,54,AC,Brasiléia,1200104,city,407,1548.82411,63,6,0,0.0147,26278,True,False
27,2020-07-01,85,AC,Bujari,1200138,city,204,1987.14202,23,3,0,0.0147,10266,True,False
27,2020-07-01,55,AC,Capixaba,1200179,city,144,1227.30759,0,5,0,0.0347,11733,True,False
27,2020-07-01,80,AC,Cruzeiro do Sul,1200203,city,2079,2352.44863,30,35,0,0.0168,88376,True,False
27,2020-07-01,56,AC,Epitaciolândia,1200252,city,172,934.22411,15,6,0,0.0349,18411,True,False
27,2020-07-01,61,AC,Feijó,1200302,city,262,753.3065,40,5,0,0.0191,34780,True,False
27,2020-07-01,45,AC,Jordão,1200328,city,39,468.91908,4,0,0,0.0,8317,True,False
27,2020-07-01,64,AC,Mâncio Lima,1200336,city,156,822.04774,20,3,0,0.0192,18977,True,False
27,2020-07-01,50,AC,Manoel Urbano,1200344,city,51,539.16905,2,1,0,0.0196,9459,True,False
27,2020-07-01,51,AC,Marechal Thaumaturgo,1200351,city,162,858.64207,13,1,0,0.0062,18867,True,False
27,2020-07-01,87,AC,Plácido de Castro,1200385,city,295,1492.83943,5,6,0,0.0203,19761,True,False
27,2020-07-01,95,AC,Porto Acre,1200807,city,272,1469.95244,4,6,0,0.0221,18504,True,False
27,2020-07-01,50,AC,Porto Walter,1200393,city,51,425.63846,0,0,0,0.0,11982,True,False
27,2020-07-01,107,AC,Rio Branco,1200401,city,7002,1719.04576,149,263,4,0.0376,407319,True,False
27,2020-07-01,51,AC,Rodrigues Alves,1200427,city,94,496.5663,0,4,0,0.0426,18930,True,False
27,2020-07-01,55,AC,Santa Rosa do Purus,1200435,city,151,2308.8685,2,2,0,0.0132,6540,True,False
27,2020-07-01,74,AC,Senador Guiomard,1200450,city,256,1111.88325,6,6,0,0.0234,23024,True,False
27,2020-07-01,59,AC,Sena Madureira,1200500,city,618,1347.9323,37,3,0,0.0049,45848,True,False
27,2020-07-01,61,AC,Tarauacá,1200609,city,684,1606.87857,30,4,1,0.0058,42567,True,False
27,2020-07-01,64,AC,Xapuri,1200708,city,236,1221.34244,6,3,0,0.0127,19323,True,False
27,2020-07-01,107,AC,,12,state,13715,1555.10327,462,370,5,0.027,881935,True,False
27,2020-07-01,116,AL,,27,state,36819,1103.23828,857,1072,20,0.0291,3337357,True,False
27,2020-07-01,111,AM,,13,state,72284,1744.05376,1461,2843,20,0.0393,4144597,True,False
27,2020-07-01,104,AP,,16,state,28927,3420.3547,435,420,3,0.0145,845731,True,False
27,2020-07-01,118,BA,,29,state,76485,514.2518,3178,1902,49,0.0249,14873064,True,False
27,2020-07-01,108,CE,,23,state,114038,1248.76288,3555,6203,57,0.0544,9132078,True,False
27,2020-07-01,117,DF,,53,state,50676,1680.64663,1458,620,33,0.0122,3015268,True,False
27,2020-07-01,119,ES,,32,state,48821,1214.86071,1928,1692,45,0.0347,4018650,True,False
27,2020-07-01,112,GO,,52,state,26169,372.8652,1259,521,30,0.0199,7018354,True,False
27,2020-07-01,92,MA,Açailândia,2100055,city,2514,2235.7597,9,51,0,0.0203,112445,True,False
27,2020-07-01,44,MA,Afonso Cunha,2100105,city,77,1180.25751,0,1,1,0.013,6524,True,False
27,2020-07-01,56,MA,Água Doce do Maranhão,2100154,city,267,2123.93604,23,5,2,0.0187,12571,True,False
27,2020-07-01,75,MA,Alcântara,2100204,city,30,135.76504,0,5,0,0.1667,22097,True,False
27,2020-07-01,62,MA,Aldeias Altas,2100303,city,64,241.21815,0,0,0,0.0,26532,True,False
27,2020-07-01,81,MA,Altamira do Maranhão,2100402,city,109,1341.04331,32,5,0,0.0459,8128,True,False
27,2020-07-01,65,MA,Alto Alegre do Maranhão,2100436,city,311,1149.59524,8,8,0,0.0257,27053,True,False
27,2020-07-01,69,MA,Alto Alegre do Pindaré,2100477,city,511,1600.92735,19,2,0,0.0039,31919,True,False
27,2020-07-01,49,MA,Alto Parnaíba,2100501,city,68,607.68543,1,0,0,0.0,11190,True,False
27,2020-07-01,58,MA,Amapá do Maranhão,2100550,city,3,43.09107,0,0,0,0.0,6962,True,False
27,2020-07-01,65,MA,Amarante do Maranhão,2100600,city,455,1098.10547,0,11,0,0.0242,41435,True,False
27,2020-07-01,74,MA,Anajatuba,2100709,city,196,731.26143,14,6,0,0.0306,26803,True,False
27,2020-07-01,60,MA,Anapurus,2100808,city,515,3273.58251,0,4,0,0.0078,15732,True,False
27,2020-07-01,62,MA,Apicum-Açu,2100832,city,196,1136.9569,0,2,0,0.0102,17239,True,False
27,2020-07-01,64,MA,Araguanã,2100873,city,401,2599.50733,3,2,0,0.005,15426,True,False
27,2020-07-01,55,MA,Araioses,2100907,city,384,826.87339,11,5,0,0.013,46440,True,False
27,2020-07-01,56,MA,Arame,2100956,city,151,461.75958,1,4,0,0.0265,32701,True,False
27,2020-07-01,75,MA,Arari,2101004,city,150,502.54623,1,4,1,0.0267,29848,True,False
27,2020-07-01,63,MA,Axixá,2101103,city,60,494.64138,0,2,0,0.0333,12130,True,False
27,2020-07-01,77,MA,Bacabal,2101202,city,1759,1676.05218,48,17,0,0.0097,104949,True,False
27,2020-07-01,77,MA,Bacabeira,2101251,city,123,721.19613,0,1,0,0.0081,17055,True,False
27,2020-07-01,51,MA,Bacuri,2101301,city,344,1851.2539,0,2,0,0.0058,18582,True,False
27,2020-07-01,49,MA,Bacurituba,2101350,city,18,318.92275,0,0,0,0.0,5644,True,False
27,2020-07-01,73,MA,Balsas,2101400,city,674,710.31859,46,2,0,0.003,94887,True,False
27,2020-07-01,55,MA,Barão de Grajaú,2101509,city,13,69.07545,0,0,0,0.0,18820,True,False
